username,lemmatized_text,extract_hashtags,labels
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna Pwani University Gatundu MC Fullstop,Raila Maandamano RailaOdinga MaandamanoThursday,[0.29592764 0.4742098  0.22986259]
peterju59314052,  comment tweet say everything Kenyans refuse mchawi Raila shenanigan,MaandamanoThursdays,[0.86704326 0.10504143 0.02791528]
SlapNol,  Kayole Donholm,MaandamanoThursdays,[0.25061068 0.59014904 0.15924028]
martine_caleb, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
kevoprezzo,  think medium give government Media blackout protest theyve brutalized journalist today Tassia outering,MaandamanoThursdays,[0.88688827 0.09191623 0.02119554]
MapesaOjiwa,  come mya attention Kalenjin tribal tribe KenyaEspecially Twitter anyone observe thing,MaandamanoThursdays,[0.33876655 0.46724832 0.1939851 ]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga WilliamRuto,[0.48007518 0.36950678 0.15041806]
Reptile_ke,  Goonverment Sounds funny funny,MaandamanoThursdays,[0.062852   0.16819516 0.76895285]
edwinotis123,  Democracy Dies Darkness CONDENM ACT POLICE Directed journalist,MaandamanoThursdays,[0.7500907  0.2276816  0.02222769]
TerrChuLei,  Raila minion : realize KK govt unmoved matter theyre claim inthe interest Ruto tat handshake shuld happen Tunawaambia Ngo Ngo Ngo,MaandamanoThursdays,[0.35152817 0.3471661  0.30130574]
DiscoveriesAct,  car belong Mathare North lawmaker ally AZIMIO curious journalist transport inside car People dont listen tell medium part anarchy script Alai Kayole,MaandamanoThursdays,[0.36606333 0.46967685 0.16425984]
Silent_Singer21,  Lets 1000 today ill follow back immediatelyretweet fast /RIP/Pwani University/KDD 233P/Babu Owino/Vera,MaandamanoThursdays Raila,[0.46661788 0.39636698 0.13701513]
martine_caleb, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna,Raila Maandamano RailaOdinga,[0.33299005 0.42188123 0.2451287 ]
bitcoineriey,  Bora msifanyie kitu Sugoi prince rest mjipende,MaandamanoMondays,[0.36904454 0.36761335 0.26334214]
OgolaSirikal,  bold brave,MaandamanoThursdays,[0.17249902 0.33495045 0.49255055]
Mxi92478176,  BREAKING NEWS RAILA ODINGA CURRENTLY BEGING RUNDA/KAREN WELL WISHERS CONTRIBUTE NIGHT MEAL LONG DAY DEMONSTRATING WITHOUT TAKING MEAL MANSION KAREN Edwin sifuna / vera,MaandamanoMondays,[0.36547258 0.35716495 0.2773625 ]
MohamedBamursal,  Poor Kenyans blindfold join foot place place yet master vehicle draw huge salary national coffer lead example donate earnings resign else let Kenyans work earn living,MaandamanoThursdays,[0.84601873 0.11452197 0.03945939]
KenyasTweep,  Mkiambiwa cost live mnajam Wajinga ni nyinyi Pwani university Raila Odinga pipeline William Ruto,MaandamanoThursdays MaandamanoThursday MaandamanoMondays,[0.28789508 0.5890556  0.1230493 ]
BeingCharlie,  100 % Horrific,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.92283875 0.04437175 0.03278958]
CallebMeshack,  matter side body happy Enough enough,MaandamanoThursdays,[0.15077148 0.50056905 0.34865946]
KWC_Congress,  Goonverment Sounds funny funny,MaandamanoThursdays,[0.062852   0.16819516 0.76895285]
lord_tilla,  cop goon hire state,MaandamanoThursdays RHONairobi Raila,[0.34171867 0.43925145 0.21902986]
DjGhost254,  journalist expect go scenewangejipin security tosha ama walidhani camera itasimamisha teargas,MaandamanoThursdays Raila,[0.43176827 0.36837083 0.19986096]
Jeshi_LaBABA,  HEAD POWER PEOPLE,MaandamanoThursdays,[0.1314542 0.1770086 0.6915372]
CrazyMaxxy,  Goonverment say,MaandamanoThursdays,[0.29017785 0.47907805 0.23074415]
Juliohwachirah,  Mambo iko hii Kenya ni mingi,MaandamanoThursdays,[0.31422114 0.20906675 0.47671214]
tipsy_collins,  female accuses bruv fuck fuck bad Guilty nah youll damn prove innocence,MaandamanoThursdays,[0.8185117  0.12687288 0.05461542]
irenetindi,  Elders Religious leader Country bring two premier together dialogue Children Women age PWDs hurt God help Kenya Restore sanity,MaandamanoThursdays,[0.69223684 0.22921707 0.078546  ]
BeingCharlie,  Scenes Uganda play Nairobi Happened Kizza Besigelye Uganda Today happen Raila Odinga Kenya,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.09732502 0.78364134 0.11903363]
Reptile_ke,  Biblia iliwekwa chini alafu shetani akachukua usukani sad day Kenya,MaandamanoThursdays,[0.5447488  0.2975776  0.15767364]
BlaqAnarchist,  Gava back successful tour Europe supportive statement AU West week seem clear convince world opinion Raila treat terrorist dialogue Handcheque,MaandamanoThursdays Raila,[0.2724483 0.3659968 0.3615549]
Reptile_ke,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays,[0.84813154 0.12480819 0.02706027]
BrianKosgeiii,  Ruto hio kura nilikupea August ilikua ya kwanza na ya mwishohuwezi Hubiri maji na wewe unatumia pombe Mahn promise lot Police Brutalitybut instead turn face Police Brutality Rails Odinga Ruto Gachagua Pwani University,MaandamanoThursdays,[0.5773426  0.30813336 0.11452392]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga,[0.48007518 0.36950678 0.15041806]
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga,[0.48007518 0.36950678 0.15041806]
vinnymongare,  man pay kill peaceful demonstrator Tassia photoshop,MaandamanoThursdays,[0.62395114 0.29922247 0.0768264 ]
ZakayoGichuhi,  guy compensate infamous handshake uhuru Kenyatta ama aliserve purpose yake forget many u dust settle,Raila MaandamanoThursdays,[0.577855   0.26612744 0.15601762]
BeingCharlie,  Living DANGEROUS time,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.44598672 0.12302829 0.430985  ]
_KAISERTONIZZ,  RAILA ODINGA : car hit 7 live bullet aim RANDOM FB USER : blame officer miss target jail life Kenyans surely,MaandamanoThursdays,[0.8272588  0.14785075 0.02489042]
BeingCharlie,  Mothers,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.27036074 0.48248246 0.2471568 ]
Roy_koech7,  KDD 233P medium accomplishes treason teargas,MaandamanoThursdays Raila,[0.37884265 0.4103668  0.2107905 ]
BeingCharlie,  DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.2787206  0.52178615 0.19949321]
BeingCharlie,  Sad,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3882405  0.4007     0.21105945]
HajjAbdiwahid,  STAND solidarity BABA better kill 15M us first,MaandamanoThursdays,[0.38058126 0.30360797 0.3158107 ]
BeingCharlie,  Following DP Rigathi Gachagua order letter Expect nothing well,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.47582433 0.3829219  0.14125381]
bonifacemwangi,  Kenya Police work Protests always begin peacefully show violenceA teargas grenade shot directly person kill shock COMPLETELY stop heart Killer Police Force,MaandamanoThursdays,[0.78098005 0.17714578 0.04187417]
RecordTVKenya,  ALTERED NUMBER PLATE clearly seem vehicle one allegedly attack number plate awfully alter KDD 233P KBB 233B divide 2,MaandamanoThursdays,[0.8682608  0.11965346 0.01208576]
billafriking,  dont know journalist badly hurt KDD 233P,MaandamanoThursdays Maandamano Demonstrations RailaOdinga azimio,[0.90663916 0.07564634 0.01771448]
lalita_kip,  vote lead Nation one influence dialogue/ Handshake neither international influence,MaandamanoThursdays Raila pipeline,[0.27357465 0.58350396 0.14292136]
BeingCharlie,  Regrettable scene witness today Rogue police Thugs amp looter Affront press,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis Daybreak WayForward,[0.9420472  0.04655244 0.01140031]
kaddy76006924,  Sasa hata maiti mnaiba,MaandamanoThursdays,[0.58454263 0.29125497 0.12420239]
Mutwiried,  Everything government right focus next election~Khelef Khalifa,MaandamanoThursdays maandamano,[0.11348546 0.61337435 0.27314016]
_pablo254,  Jakom rethink conduct juu victim mazee wanasuffer,MaandamanoThursdays,[0.7032659  0.21581097 0.0809231 ]
TradearlNewsSvc,  Azimio protester Kisumu vandalize loot newly open Kwee funeral home Jaramogi Oginga Odinga Teaching Referral Hospital Governor Nyongo condemn attack call perpetrator apprehend,MaandamanoThursdays TradearlNews,[0.7054472  0.22847113 0.06608168]
fokango,  ’ call end PROTESTS call police BRUTALITY call PROTECTION human right call end INTIMIDATION ’ ask continuation OPPRESSION,MaandamanoThursdays,[0.84813154 0.12480819 0.02706027]
Kilemi_Andrine,  Hii nayo imeenda,MaandamanoThursdays Nairobi,[0.43608305 0.35822323 0.20569368]
black_pablo1,  Old men start war youth die fight,MaandamanoThursdays,[0.45614615 0.4411674  0.10268649]
Kipchumba786,  dont take disciplinary action rogue officer constantly bay innocent blood sell soul nation devil,MaandamanoThursdays,[0.9294428  0.05507039 0.01548681]
Itumbiparody,  Inspector General police Japhet Koome recall police miss target save us maandamanos another,MaandamanoMondays,[0.5790967  0.34059498 0.08030833]
joncaleaf1,  colonize fellow countryman constitution allow us picket freedom expression one take away freedom Kenyan citizen,MaandamanoThursdays MaandamanoMondays,[0.36731794 0.37039274 0.26228932]
cynthiamutere,  appear many tool repression articulate colonialism refine new ruling class follow independence still use consolidate state Azmio,MaandamanoThursdays,[0.46499777 0.3902348  0.14476748]
geeradioke,  press conference Karen opposition chief claim car shoot seven time live bullet believe direct attempt kill,MaandamanoThursdays Raila RailaOdinga Assassination,[0.51047873 0.4198448  0.06967647]
DennisOtachy,  Absolutely madness ’ right way treat journalist work,MaandamanoThursdays,[0.71356046 0.14304943 0.14339018]
alex_0962,  People retire pass long contribution still make keep current govt check either deliver quit suffer,RailaOdinga Kenyans,[0.36752635 0.42401725 0.20845644]
IvanWanjiku_M,  urge resident Siaya Homabay Migori Kisumu burn everything hii unga lazima ishuke support behind keyboard Youre hero Chomeni hata lake victoria,MaandamanoThursdays,[0.2787527  0.2788046  0.44244263]
Mutwiried,  Even demonstrator throw stone car windscreen anything thing replace within 24 hour cant replace life~ Khelef Khalifa Director MUHURI,MaandamanoThursdays MaandamanoMondays kutvprimetimenews,[0.35039648 0.46743688 0.18216665]
GachingJose, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
waza_news,  Azimio protester expect take street today third time irritate eye nose throat skin result symptom like tear cough trouble breathing,azimio MaandamanoMondays RailaOdinga teargas,[0.8994706  0.08593698 0.01459236]
MohamedBamursal,  hit economically spearhead working/lower class pyramid Uber driver drive somewhere decry unable make end meet family fee bill pay loan service,MaandamanoThursdays,[0.44615808 0.46194038 0.09190152]
JimmieiZmE,  Hope madness end soon,MaandamanoMondays,[0.7617964  0.14935918 0.08884434]
Kisumu_lastborn,  Arent confident enough ur prowesswhy cry foul affiliate boughtwhat say peopleinstead mobilizing anarchy see u inhouse keep n spare,Azimio Dearmwananchi,[0.8001988  0.14855035 0.05125087]
DJTASMANIA1,  Stop comparing Railas life useless thing,MaandamanoThursdays,[0.92928857 0.049364   0.02134735]
WanjiruNdagita,  demand part video want see two action together Otherwise remain stage manage scene part,MaandamanoThursdays,[0.19766259 0.58275443 0.21958293]
OjwangMariam,  Unlike DCI Officers download 2017 Photos publish photo Criminals let leave pic evidence transpire tell us police think Propaganda Ghai,MaandamanoMondays MaandamanoThursday,[0.6073622  0.32785803 0.0647798 ]
alex_0962,  defend constitutional right fight past decade think retire watch magic play,Baba RailaOdinga,[0.28147727 0.5262036  0.19231914]
BeingCharlie,  HARDLINERS,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3516865  0.44347808 0.20483536]
BeingCharlie,  time President William Ruto bring end Diplomatic solution best way though,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.26231667 0.3463768  0.39130652]
Njoroge_kamau,  sad officer back bribe kesho Pwani University accident idiot allow sudden 100kph 50 kph speed limit let ’ blame,MaandamanoThursdays,[0.91707873 0.06546772 0.01745348]
KenyaNiYetuSote,  citizen arrest conduct Assasin loose target Baba allow,MaandamanoThursdays,[0.73707443 0.23987088 0.02305468]
BeingCharlie,  DP Rigathi Gachagua help,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.40796876 0.4134593  0.17857194]
Tasha_ke746,  Basketball 🥳 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila,[0.7457446  0.22964257 0.02461283]
nziokitm,  Gained 100+ follower day Thank much Drop handle grow together,Quickmart57 Raila MaandamanoThursdays,[0.03220054 0.11359518 0.8542043 ]
AzimioTv,  Looks like illegitimate regime learn powerful lesson : never underestimate strength people,MaandamanoThursdays,[0.7708808  0.13828039 0.0908388 ]
DzaddyLil,  Uyu mzee sii aende nyumbani kiroho safiYani tangia nizaliwe 2002 amekua akivie presidency na analose zotesaizi naplan kuamka2027najua atakua bado kwa race,RailaOdinga,[0.5418117  0.28982845 0.16835985]
BeingCharlie,  President William Kipchirchir Samoei Arap Ruto PhD must take charge silence noisy DP Rigathi Gachagua,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.6542541  0.27045056 0.07529541]
benalfali,  ulizia sisi huko juu whether patron makanisa arubaini slot also mean mama mboga government,MaandamanoThursdays MaandamanoThursday Raila,[0.4126965  0.46262276 0.12468066]
BeingCharlie,  DP Rigathi Gachagua hat Luos passion speech tell,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,[0.3950166  0.41109967 0.19388372]
sakijointl,  real love course hand cost living must bring GoK,Azimio MaandamanoMondays Mungumbele,[0.14702801 0.52157867 0.33139336]
Reptile_ke,  Pipeline selflessly pour water highrise flat douse team intense teargas Mubarikiwe,MaandamanoThursdays MaandamanoThursdays,[0.22029203 0.5686512  0.21105677]
Malcolm_Ze,  guy send miss Sorry,MaandamanoThursdays,[0.7713274  0.18601628 0.04265632]
AvangiBenedict, ,Costume MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
HonMbaki,  Raila Odinga know ahead ’ stop nonsense go forward Monday extremely messy Whoever lie ’ law read tweet 100 time Nobody allow loot destroy kill Kenyans,MaandamanoThursdays,[0.8850722  0.08537018 0.02955766]
Akillomuziq21,  Ni handshake aimthe president deputy ruthless 80s stupid thought must continue,MaandamanoThursdays,[0.84793085 0.10069423 0.0513749 ]
DaimaDawama,  goon,MaandamanoThursdays MaandamanoThursday,[0.30871364 0.2788764  0.41240993]
DavidGichamba,  STOP MADNESS RETIRE TODAY,MaandamanoThursdays RailaOdinga enemyofthepeople,[0.94090736 0.04105671 0.01803591]
_real_es,  Ealier Today Embakasi Outering Road,MaandamanoThursdays Maandamano RailaOdinga embakasi PoliceBrutality PwaniUniversity,[0.5622895  0.39693844 0.04077208]
dennisjoe20,  Windscreen broken vehicle wreck big question Mr Odingas Insurance principle proximate cause subrogation loss minimization INDEMNITY apply case,Raila MaandamanoThursdays,[0.8062892  0.17476241 0.01894833]
Jeshi_LaBABA, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
kamaa2525,  peace,MaandamanoThursdays,[0.32838875 0.35692403 0.31468716]
PHILLISKANG6,  Wow sound like Deputy President need get clue people speak Raila Odinga come ready See bio bro,MaandamanoMondays,[0.33314976 0.3574782  0.309372  ]
Tonywamwangi,  Kenya police take gender reveal party another levelFinallytoday baby girlHaha,MaandamanoThursdays,[0.21201423 0.5227384  0.26524737]
ChrisstalFarms1,  21st Century Police still act like untrained uncivilized force Quite unfortunate particular officer prosecute Babu Owino Edwin Sifuna,Maandamano Newsnight MaandamanoThursdays Raila,[0.939886   0.04557022 0.01454383]
SirKimly,  Raila Odinga really adore follow constitution rule law deal people dont care advice baba use armored vehicle need alive,MaandamanoMondays,[0.2670798  0.32837388 0.40454632]
MusiFrancisco,  go dine inthe tweet Skia vibaya na hukooo,MaandamanoThursdays imaradaima,[0.3444649  0.36149624 0.29403883]
Onlineoptimize1,  Kenyas top rank killer cop,Quickmart57 Raila MaandamanoThursdays,[0.9178667  0.05333739 0.02879593]
wembe_sita,  fraction PA whole teach school,MaandamanoThursdays,[0.35410234 0.5127277  0.13316996]
kiprono_kip,  take entire bulletin Northlandsnow animal farm,Tonight MaandamanoThursdays,[0.32545862 0.57927036 0.09527098]
