username,lemmatized_text,extract_hashtags,labels
VinnieKinkade,  scene make Gachagua Ichungwa amp clown mad hadi hire goon loot people business blame Raila Uhuru 🤣 Hakuna violence ni street bash tu Pwani University Imara Daima Siaya Naivasha Kisumu Kayole,MaandamanoThursdays Raila,[0.7710954  0.15440299 0.07450169]
whitney_stesher,  INJUSTICE BECOMES LAW RESISTANCE BECOMES DUTY,OuteringRoad Pipeline Azimio Raila Maandamano,[0.40854737 0.4797298  0.11172284]
CosnameTv1,  Despite demonstration happen today President William Ruto say meeting assure President Biden commitment strengthen democracy Kenya public,MaandamanoThursdays Raila Nairobi JKLive Ruto cosname,[0.19471055 0.35276568 0.45252374]
NabwanaSanya,  Vintage point :,MaandamanoThursdays,[0.22051641 0.55779445 0.22168912]
Silent_Singer21,  Nunua samosa ya nyama ya mbaotoa hiyo nyama ukule na ugali alafu ngozi ukunywe nayo chai /Babu Owino/RIP/Pwani University/,Raila MaandamanoThursdays,[0.5306624  0.29009077 0.17924681]
pessahdaud,  least find unga day Srap metal express,MaandamanoThursdays MaandamanoMondays,[0.2298452 0.5160368 0.254118 ]
SanyaNabwana,  Vintage point :,MaandamanoThursdays,[0.22051641 0.55779445 0.22168912]
IanSeli,  Look peaceful demonstration look like accord azimio,MaandamanoThursdays,[0.22832598 0.3492938  0.4223802 ]
Litempo3, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
IthaliiJackson,  Ata kama support Azimio daily maandamano unfair supporter fair Baba please,MaandamanoThursdays,[0.5196973  0.26842785 0.21187484]
osamaoloo,  Stop overindulging Unrestrained pleasureseeking dull sens weaken intelligence make slave hormone indulge pleasure life avoid extremity master moderation,MaandamanoThursdays,[0.64325505 0.22668293 0.13006195]
DiplomasiaNews,  Breaking News : Unreliable Source tell us Pink spray Leaders Convoy outering Road affect Breathing Systems check aid Meanwhile back engage supporter albeit unstable Live Scene,Azimio,[0.8112672  0.16769499 0.02103785]
brian_ombui8,  police officer inhuman Kudos individual big heart sole purpose security institution,Maandamano MaandamanoThursdays,[0.27649373 0.19447938 0.5290269 ]
SanyaNabwana,  Pictorial Thursday,MaandamanoThursdays,[0.08943386 0.632797   0.27776906]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
TradearlNewsSvc,  aside Bungoma man win ugali eating contest finish 2 kg ugali 35 minute,MaandamanoThursdays TradearlNews,[0.21110122 0.38318732 0.40571147]
ommwambaKE,  Hapa Outering Road police run life Runda Pwani University RIP William Ruto Babu Owino Baba Kayole Raila Odinga Malema,MaandamanoThursdays,[0.46137562 0.39632326 0.14230104]
MukuruSPA,  Photo day land cruiser mabati house political class always look slum dweller thing work favor handshake happen forget us Tuambiane ukweli pia,MaandamanoThursdays,[0.38105708 0.40020785 0.2187351 ]
CosnameTv1,  GSU officer head Outering Road control situation protester overpower officer,Azimio Nairobi JKLive Raila MaandamanoThursdays cosname,[0.4321072  0.4673553  0.10053746]
OgaOchoro,  look people take ICC na Watu wake watakuwa clean kama pamba Interesting time ahead work government,MaandamanoThursdays,[0.28879    0.28763947 0.4235706 ]
NabwanaSanya,  Pictorial Thursday,MaandamanoThursdays,[0.08943386 0.632797   0.27776906]
it_kibe_,  dawn Raila never president kenya want William Ruto fail kenyan may suffer make president despite beg vote 5 time Runda Babu Owino | Outering Road | Karen | pwani university,MaandamanoThursdays,[0.68422675 0.2250714  0.09070184]
PopularStories_,  Kalonzo Musyoka speak suspected Raila Odinga assassination Today Azimio team Imara Daima pipeline along outering Road,MaandamanoThursdays,[0.64376724 0.31785682 0.0383759 ]
JustDerro,  think io session iliisha haraka kama ya blunt mojaEven government operation zinaanza kua paralyse,MaandamanoThursdays,[0.5912689  0.29784983 0.11088131]
Qim_Lion,  * WHATSAPPFORDAILYTIPS * * +254794983876 * CONGRATULATIONS * Swafiii Sanaaaa * KICK 22:15Pm * DAILY 40+ Odds ready claim TODAY TiPs *,MaandamanoThursdays,[0.05245996 0.31830078 0.62923926]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
MKENYA_SHUJAA,  Hooligans lead LORD VIOLENCE chase away police outering road Quite unfortunate,MaandamanoThursdays Maandamano,[0.9531792  0.03602277 0.01079811]
HarryGodfirst, ,Kenya MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Onesmus_Musyoki,  Murife must go,MaandamanoThursdays MaandamanoMondays,[0.71007264 0.2341376  0.05578971]
vinsoulworld,  ’ crazy Siaya Gem specific,MaandamanoThursdays,[0.2809672  0.32947716 0.38955566]
DuncanKhaemba,  rate journalist cover protest attack injure alarm suspect Monday Thursday violence medium crew add Yes,Azimio Journalism Crime,[0.74883986 0.22779045 0.02336976]
nicholas_64,  today investor Kisumu go bankrupt less 6 hr goon loot supermarket others tell us Narok Runda Babu Owino Karen Outer Ring Road William Ruto,MaandamanoThursdays,[0.5564299  0.35254174 0.09102831]
thaking_jobu,  always peaceful till police show shape,MaandamanoThursdays MaandamanoMondays,[0.33379915 0.36256844 0.3036324 ]
Maxpac2,  make demo Mondays daily affair,MaandamanoThursdays,[0.30379874 0.48494598 0.21125533]
deogratiuslang1,  kalenjin TBH always support since Raila Odinga thank election loss help deepen Kenya ’ democracy support daily Unfortunately hope wont tire fighting democracy country,MaandamanoThursdays MaandamanoMondays,[0.24122758 0.25832376 0.50044864]
ViralTeaKe,  Raila Odingas convoy spray pink water police water cannon Outering Road,MaandamanoThursdays,[0.22932145 0.64841133 0.12226719]
silasbogonko,  court decision case,MaandamanoThursdays,[0.33617496 0.5627305  0.10109451]
MwangiGideon6,  choice air bias lot business make great loss due vandalism due shenanigan choose air Shame,MaandamanoThursdays,[0.8641071  0.09545488 0.04043811]
Frankenyatta254,  support responsible medium coverage event would advise consider safety first go cover event medium friend use helmet etc,MaandamanoThursdays PwaniUniversity,[0.15311931 0.6549612  0.1919195 ]
brian_ombui8,  Azimio need tame individual take advantage demonstration destroy people propertiesRaiding supermarket kisumu burning UDA office Siaya go spirit peaceful demonstration,MaandamanoThursdays,[0.62926996 0.24159472 0.12913539]
MusyimiKe,  post quote Aramat enough ground beef security Kedong land claim land lead court Using incitement arm twist police bad precedence go around come back around,MaandamanoThursdays,[0.7182085  0.21148758 0.07030392]
sadiqsaadke,  Waziri Golf Experience 2023 Edition take place Diani Golf Course Kwale County lead ICT Digital Economy CS Register amp come tee tech leader,ConnectedSummit2023 DigitalEconomyKE MaandamanoThursdays,[0.01983536 0.80433595 0.17582867]
MigosiAmbrose,  Kenyans loot avocados overturn pickup Ndarugo area along Thika Road spot truck carry maize bean overturn Last week ilikuwa wapike githeri Leo wameongezwa Avocado 🥑 | Outer Ring Road | Nairobi|,MaandamanoThursdays Maandamano,[0.65418524 0.29455915 0.0512556 ]
ShaffieWeru,  Missing work celebrate day en turn premium tear employer ’ start deduct salary employee work day miss,MaandamanoThursdays MaandamanoMondays,[0.7085583  0.23552586 0.05591575]
K24Tv,  Hon James Gakuya : country belong us Destroying country value anyone fight neighbour instead crush,MaandamanoThursdays K24Siasa,[0.8475478  0.1150816  0.03737052]
Kony_One,  Nothing come free : Maandamano death distraction loss must ready bear respect Country,MaandamanoThursdays,[0.5273108  0.31264222 0.160047  ]
mbate,  problem thuggish government tell looter areyou pin point Azimio demonstrator government demonstrate ability willingness engage thuggery,MaandamanoThursdays,[0.578912   0.29339635 0.12769164]
mnurferuz,  Jamia mosque owner cry loot,MaandamanoThursdays,[0.60393196 0.2998959  0.09617212]
michael1980kim,  democracy ur preaching station bado mtalimwa na hao wakora,MaandamanoThursdaysna,[0.47543627 0.33274108 0.1918227 ]
the_socrato,  Look bark loudestAlso observe huge black dog carry itselfLearnt something,MaandamanoThursdays,[0.37130314 0.44423226 0.18446466]
dennisobande63,  one law Police rule demonstration Unaskia na wapi,MaandamanoThursdays,[0.3956544 0.4884285 0.1159171]
Hekock,  Raila good cannibalise,MaandamanoThursdays,[0.26101243 0.27508596 0.46390158]
AfricaTembelea,  Azimio la Umoja One Kenya coalition party leader Raila Odinga defiantly reiterate antigovernment protest continue despite government declare illegal,KenyaKwanza MaandamanoThursdays,[0.56644493 0.276503   0.15705208]
Davido_Lubi,  Outering Road hakujakuwa kuzuribt nway go manday,MaandamanoMondays,[0.5523804  0.28690395 0.16071565]
jaytheo07,  Moments accisdent bus see overspeed pwani university,MaandamanoThursdays RIP,[0.4711969  0.37322235 0.15558073]
RichardJosephO1,  Lesson learntnever take side bad mistake fee police officer,MaandamanoThursdays,[0.6658452  0.24301448 0.09114035]
Chebon_Esq,  participate cos Ruto hakuniappoint CAS irreducible minimum nikuandikwa CAS,MaandamanoMondays,[0.4188076  0.43586862 0.14532375]
alaba_hallo,  Quality soccer ball 0728139168 Ruto siaya Raila,MaandamanoThursdays,[0.07424442 0.67832667 0.24742891]
pessahdaud, ,MaandamanoThursdays CitizenNipashe Istand,[0.3257778  0.38096133 0.2932608 ]
LawrenceAd74690,  man mine heartsomeday youre go country sit backlament treat youhow ungrateful youth knw nothing abt spew triviol hate msg day remember,MaandamanoThursdays,[0.8568628  0.10032567 0.04281154]
justriua,  Dear Azimio nobody lie theres force somewhere get Ruto power demonstrate want hes stay FACT,MaandamanoThursdays,[0.3700582  0.377649   0.25229278]
RonaldKabiru,  vandalise struggle person behest rich one,MaandamanoThursdays,[0.36793998 0.3971736  0.23488641]
shaddydavid,  Police use live ammunition outering road pipeline,MaandamanoThursdays,[0.6913679  0.2598391  0.04879306]
_joh95,  Peaceful demonstration well police kware decide stupid,pipeline MaandamanoThursdays,[0.46784213 0.25938535 0.27277252]
Davidkimmzz,  aside ifb,MaandamanoThursdays,[0.2624153  0.47263843 0.2649463 ]
yussufu20,  really bad blink eye man make poor Embakasi demontratiom today clique Azimio demonstration others intention looting vandalism must call,MaandamanoThursdays,[0.9397536  0.04377152 0.01647489]
banakenya,  Protesters use large homemade catapult throw stone police Patel roundabout Kisumu City injure police officer William Ruto Pwani University RIP Gatundu Imara Daima Kedong Babu Owino,dpgachaguaspeaks MaandamanoThursdays JKLive,[0.8473997  0.13176325 0.0208371 ]
jaytheo07,  demo leave many people lot problem,PwaniUniversity MaandamanoThursdays,[0.91210485 0.07468985 0.01320535]
sobukwe_nonkwe, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
KenyaNiYetuSote,  Outering road kamenuka vibaya sana saa hii AVOID,MaandamanoThursdays,[0.5993947  0.24018216 0.16042311]
MashMyk,  Keep Speaking,MaandamanoThursdays,[0.20431274 0.43509537 0.36059186]
Tabbykanyungu, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
Chach_a_,  Kimanis scapegoat,MaandamanoThursdays,[0.85668147 0.08370677 0.05961177]
paulmwiu,  sure sleep like baby tonight owner worker Jamia Supermarket route low cost live Jamia Supermarket own happy,MaandamanoThursdays,[0.11524737 0.31451264 0.57024   ]
myron_mhindi,  man Bomet Central Ndarawetta ward chop kill two child due family misunderstand humanity go foreal RIP Runda Ruto Pipeline Babu Owino,MaandamanoThursdays,[0.89380485 0.08312021 0.02307492]
IanSeli,  whore pro azimio careful cover maandamano character like Babu owino amp wajakoya give mic cut sound,MaandamanoThursdays,[0.3551786  0.3813662  0.26345524]
kamuyu_david,  real street hustler come,MaandamanoThursdays,[0.17114064 0.54617053 0.28268883]
Dee19851,  protester hired goon clearly orchestrate cause ripple effect,LangataSouthlands OuteringRoad PwaniUniversity MaandamanoThursdays,[0.79077953 0.16144824 0.04777222]
bekimwamburi,  NTV Senior Cameraman Eric Isinta grossly injure cover Thursday ’ Mass Action protest wish quick recovery wish quick recovery,MaandamanoThursdays Maandamano Raila,[0.8199212  0.14933504 0.0307437 ]
ItsRamenya,  witness Kenya criminal jurisdiction ordinary demo much loss one person win election,MaandamanoThursdays,[0.91705424 0.07296444 0.00998127]
ayika_joshua,  men blue force safety public gallery overpower 100 Plus GSU officer station outering road vow never step Zone mark RED ZONE,Raila MaandamanoThursdays,[0.20867528 0.65178496 0.1395398 ]
odindomarvin,  Raila Odinga say run President 2027 still use Luos protest end protest worsen cost live funnily organiser seek reduce,MaandamanoThursdays BabuOwino Outering,[0.58837825 0.28094372 0.13067803]
ma_shete, ,MaandamanoThursdays MaandamanoMondays,[0.3257778  0.38096133 0.2932608 ]
Felistakare,  Toyota Auris 2016 model 1500cc Petrol Auto Asking Price 177M NEG ( Bank Finance amp Trade OK ),SpaceYaMagari Raila FreshandEasy dpgachaguaspeaks ThikaRoad maandamano MaandamanoThursdays RepoRate,[0.0201085  0.93839544 0.04149607]
2015ArthurM,  witness peaceful PICKETING whole day today police barricade road even throw several teargas canister towards crowd Azimio motorcade Outering Road Pwani University Mombasa Pipeline Kisumu RIP,MaandamanoThursdays Raila,[0.68831754 0.22958986 0.08209258]
Nicksonlennox,  Pale oyugis wamemaliza mandamano go home use GK,MaandamanoThursdays outeringroad rip,[0.44544515 0.38477877 0.16977613]
LasicGendi,  out Ring road pipeline,MaandamanoThursdays MaandamanoThursdays Maandamano Raila Survivor,[0.6424905  0.3089254  0.04858408]
ngetichkipto,  President hesitant approve arrest,Raila MaandamanoThursdays,[0.49806312 0.33071175 0.17122504]
GkEdmunds, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
StanleyLugalia,  Chaos erupt along Outering Road police overwhelm protester Security officer force retreat mob angry protester pursue running battle protester manage breach barricade,Maandamano MaandamanoThursdays,[0.9065735  0.07949541 0.01393111]
jiwakilishe,  Mandamano brigade awhile ago Pipeline Kware Nairobi,MaandamanoThursdays,[0.1606852  0.74837947 0.09093532]
musasia_titus,  Kimani ichungwa lead arrest Raila Odinga,MaandamanoThursdays Maandamano,[0.47170562 0.44128788 0.08700654]
CRECOKenya,  need get thing right need audit national accord issue raise Kenyans issue raise 2008,TekelezaKatiba MaandamanoThursdays,[0.35145846 0.5038272  0.14471431]
gabu_ekim,  Raila imebidi amefunga kazi mapema leo Today good day,MaandamanoThursdays,[0.13598788 0.23807803 0.62593406]
Tasha_ke746,  15+ Odds Basketball game rarely disappoints🥳 ⏰ 7pm ( Free money stake well ) Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP Kayole,MaandamanoThursdays Raila,[0.48114708 0.30050725 0.21834566]
knjorokenya,  sorry peaceful demo,MaandamanoThursdays,[0.83915395 0.11642647 0.04441957]
martin_muchai14,  work Kenyan work Nation Peace love unity Hustling inorder eat need working nation Making Kenya great,Maadamano MaandamanoThursdays RailaOdinga PresidentRuto KenyaKwanza Azimio,[0.14967695 0.28004083 0.5702823 ]
kibetfelix254,  Unaonaje msupa tumekula hii teargas si twende kwangu tutear meat nimepika na gas yangu,MaandamanoThursdays korom,[0.4269374  0.35622114 0.21684141]
MKENYA_SHUJAA,  Peaceful demo indeed,MaandamanoThursdays Maandamano arestRaila,[0.06709115 0.11782669 0.8150822 ]
BennonMaina,  Signs Socialist Fatigue : Repeating thing recycling idea expect different result Take bow ’ serve well ’ risk rapuring drum insanity,Maandamano MaandamanoThursdays,[0.8719837  0.10439481 0.02362151]
MumbiJosphen,  day AWARD go drum rolls🥁 Oyugis squad🤣🤣 Yani guy literally take police car na wakasonga mbele swiftly🤣🤣 Outering road Europe Babu Owino Gachagua,MaandamanoThursdays Maandamano Raila,[0.34286857 0.2988661  0.35826534]
Mekatili_KE,  Ilikuwa ni Machos akikumbuka train ya Tear gas huko Kiganjo,Protests Maandamano MaandamanoMondays MaandamanoThursdays,[0.35335866 0.5540452  0.09259608]
Moha87574655,  political sellout also speak,MaandamanoThursdays,[0.76786196 0.19588397 0.03625403]
waziri_fujo,  Kenyans hear government receive 56B B,MaandamanoThursdays,[0.19472839 0.5829608  0.22231081]
G_oigo,  Violence best friend,MaandamanoThursdays,[0.8856901  0.09119429 0.02311559]
Miragekitchnwre,  sell kitchen appliance 🥣 * 10pcs aluminum cookware set * Bosch 10 pc granite cookware set * 24pcs dinnerset * 6pcs ceramic mug 0798595049 Outering Road|Runda|Babu Owino|Pipeline|Pwani University|William Ruto|,Raila|MaandamanoThursdays,[0.07012788 0.8208728  0.10899935]
Denoxyl,  fake government doesnt realise Raila odinga hype Nairobi estate big one do Nairobi City unannounced,MaandamanoMondays MaandamanoThursdays,[0.7284677  0.20302491 0.06850738]
BKBTheWizard,  anyone dead along outering Road,MaandamanoThursdays Maandamano,[0.5402335  0.42846894 0.0312976 ]
Koffi_brianKE,  literally eye wet badwe cant continue like country one🤦‍🤦‍ surely solution need achieve sooner good weve see Outering Siaya etc bad,MaandamanoMondays MaandamanoThursdays,[0.8799386  0.08408509 0.03597626]
dogweno29,  ready Monday,MaandamanoThursdays,[0.16420159 0.4676893  0.36810914]
a_ct_cool,  Kama uko maandamano huko pipeline please nikujia na chapo mbili Kindly,MaandamanoThursdays,[0.41888875 0.40584347 0.1752678 ]
WranglerSmall,  Raila na CBD ni kama Maji na mafuta Enyewe high cost commodity,MaandamanoThursdays pipeline,[0.43023044 0.43052304 0.13924654]
ni_sote,  Ruto cleverly camouflage Azimio Europe🤣🤣🤣,MaandamanoThursdays Maandamano,[0.30831203 0.3034069  0.3882811 ]
tobiasmuendo1, ,MaandamanoThursdays Maandamano,[0.3257778  0.38096133 0.2932608 ]
Jeshi_LaBABA,  Today JESHI LA BABA Salutes MothersSistersDaughters Pipeline Kwa Kutunyunyuzia Maji Ya Baraka,MaandamanoThursdays,[0.12893151 0.27501816 0.5960503 ]
penidosh,  call day well try Friday : Members day Sat : Ajawa world Sun : Repenting sin commit Outering Road Babu Owino Runda Mathare Pipeline,MaandamanoMondays MaandamanoMondays Raila,[0.25550833 0.472717   0.27177462]
MutahiNgunyi,  Dear Ruto : Today Control POLICE Control MEDIA CONTROL Gachagua ( Sheep ) FORMULA restore PEACE Test MONDAY,maandamanothursdays,[0.16848728 0.63831896 0.19319381]
fruitof_the,  Field 199697 Sessions aka Killin Field via,DnDMovie Sixers BvlgariXZeeNuNew MaandamanoThursdays Survivor Dasarareview PVLFinalsGame3 NewMusic2023 vunzigewoensdag YouTube JUNGKOOKxCALVINKLEIN,[0.07401754 0.87889653 0.04708588]
TradearlNewsSvc,  Arrest beat back Azimio leader Raila dare Government — Citizen TV,MaandamanoThursdays TradearlNews,[0.5482131  0.35461113 0.09717575]
issa_jnr1,  Baba seek another strategy hii maandamano run life Common mwananchi,mandamanothursday Maandamano RailaOdinga embakasi Gachagua moseskuria ichungwa nyoro,[0.25415432 0.42959747 0.31624815]
victorooko,  pressure MrRuto arrest Raila Odinga approval await,MaandamanoThursdays,[0.3425181  0.42647716 0.23100469]
gabu_ekim,  hopefully mko ready,MaandamanoMondays,[0.2699379  0.40102902 0.3290331 ]
matatufreak,  BumbleBee Call Boeing TV kwa kila kiti,MaandamanoThursdays Kisumu Amberay Matatu,[0.02908242 0.9215912  0.04932638]
Colonizer_ke,  Nobody own life,PwaniUniversity MaandamanoThursdays,[0.47802874 0.45486113 0.06711009]
IanSeli,  Azimio supporter Oyugis break hearty celebration carjack make away antiriot police vehicle,maandamanothursdays,[0.45994693 0.32882866 0.21122438]
OkothOchiengS,  Dear condemn Everyday mass shooting country amp dare make Kenya look cc,MaandamanoThursdays,[0.66226363 0.21757215 0.1201642 ]
githuog,  MAJORITY shenzi sana Ruto MUST GO,MaandamanoThursdays,[0.3617693  0.32371446 0.3145162 ]
DNdunguMaina,  Cost living must come Wananchi declare one voice,Maandamano MaandamanoThursdays,[0.1920846  0.6358591  0.17205632]
JerseyOutlet_ke,  BVB 4th kit available Kshs 1300 jersey Kshs 400 printing Kshs 100 badge 0100100105 Pwani University Pipeline Siaya Kisumu Imara Daima Naivasha Outering Road Babu Owino Trade CS Moses Kuria Nairobi,MaandamanoThursdays Raila,[0.14654967 0.7515767  0.10187353]
Bwoytez,  heated conversation two best friend batimayo fungua machotoooouchhhhh,Raila Maandamano MaandamanoThursdays,[0.21722482 0.24011338 0.5426618 ]
Toxic_evertoxic,  Insurance company apa inawauma mbaya sana 🤣,MaandamanoMondays Maandamano Raila RutoMustGo,[0.8236257  0.11861157 0.05776278]
KinotiGitonga1, ,MaandamanoThursdays,[0.3257778  0.38096133 0.2932608 ]
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phns Unlocking 1500 whatsapp 0789353343 Retweet pls Kayole Malema Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays,[0.26161325 0.5166697  0.22171706]
SayioreJack,  Coward Regime Lead Rigathi Gachaguaknows Handle man want eliminate himBy use police officer must stop Kenyans patriot,MaandamanoThursdays,[0.9167621  0.06399783 0.01924004]
Amollo10,  Haha Siaya CBD Siaya look like dust bin,MaandamanoThursdays,[0.37042806 0.42492864 0.20464332]
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phns Unlocking 1500 whatsapp 0789353343 Retweet pls Kayole Malema Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays,[0.26161325 0.5166697  0.22171706]
_Vornie,  situation XYZ Republic deeply concern Corruption violence political instability become norm time international community take action support people XYZ Republic fight democracy,MaandamanoThursdays,[0.8313463  0.12482452 0.04382921]
ngetichkipto,  Tena sio Nairobi bos Ama ni juu ya,MaandamanoThursdays,[0.429713   0.38951236 0.18077461]
Erasto_I,  girl,MaandamanoThursdays Maandamano Raila,[0.30028495 0.4037209  0.29599416]
ramsey_yash,  William Ruto ’ Presidential portrait fall Ole Sereni Hotel arrive preside American Chamber Commerce Summit Someone say bad Omen Dalili ya Mawingu Zakayo Shuka,MaandamanoThursdays,[0.5051672  0.3619401  0.13289273]
NjokiCocktail,  sell discount data 5GB @ 250 10GB @ 350 20GB @ 450 50GB @ 550 75GB @ 650 100GB @ 750 Decoders Unlocking 1500 Mkopa phone Unlocking 1500 whatsapp 0789353343 Retweet pls Nairobi Uhuru Raila Babu Owino Rip comrades Dp Gachagua Pipeline Condolences,MaandamanoThursdays,[0.23325972 0.5677417  0.19899862]
Toxic_evertoxic,  Pale Outering Road tuko imara mbaya sana,Maandamano MaandamanoMondays maandamanothursdays freedom raila ruto,[0.93488824 0.04832835 0.01678346]
johnxmacharia,  Police await Ruto ’ approval arrest Raila,outeringroad railaodinga maandamanothursday,[0.30948877 0.46623588 0.22427532]
solo_ambuku,  History judge harshly subject country kind perennial suffering comeuppance political nemesis massage ego Kenyans good must condemn nonsense Embrace,MaandamanoThursdays Maandamano LawAndOrder,[0.7554787  0.17502938 0.06949192]
wembe_sita,  stupid notice aka Moshene update beyond professional security organ exist massage ego politician safe guard constitutional dispensation Moicame Went kibaki tooboth kenyattas,MaandamanoThursdays,[0.77592313 0.16308138 0.06099554]
Akokosolomon,  public domain without police agitation irritationthere would minimal destruction violencepolice nuisancerecipe catalyst violencelets turn,MaandamanoMondays,[0.9244507  0.05820957 0.0173397 ]
KiguruKimani,  summit end high note Moderna announcement Government flip side hear leadership complain quantity teargas award today exceed requested amount,USKenyaTradeRelations KenyaKwanza azimio,[0.37420404 0.4534648  0.17233114]
MKENYA_SHUJAA,  people bring bookHii upuzi ya maandamano stop Raila hold responsible shenanigan,Maandamano MaandamanoMondays MaandamanoThursdays,[0.5851916 0.2883611 0.1264473]
Erigits_strong,  acceptable name peaceful demonstration Raila hold accountableInnocent citizen Jamuhuri rob Kibra goon cause havoc Pipeline Imara Daima Outerring country cant go like,MaandamanoThursdays,[0.84587187 0.1030535  0.0510746 ]
CaptainKipkorir,  Massive looting protester happen today Kisumu Several Shops Kiosks supermarket broken bad Moses Kuria Narok Gatundu Runda Pipeline Kayole Outering Road Martha Karua,Azimio dpgachaguaspeaks,[0.88256913 0.10317974 0.01425112]
wembe_sita,  day understand constitutional mandate day free kenya shackle post colonial comatose Oath office first constitution sovereignty vest people teargas,MaandamanoThursdays,[0.43857995 0.34568    0.21574007]
patricksafariR,  Dear Kindly Monday stand side road dispense drinking water show direction peaceful demonstrator Dont engage protestors use tear gas water Canon rungus,MaandamanoThursdays,[0.374947   0.42643    0.19862302]
AzimioTv,  Wangapi sasa wanataka Maandamano iwe Monday Monday Piga retweet basi,MaandamanoThursdays,[0.42477134 0.44731355 0.12791514]
NdunguWainaina,  Looting shop supermarket kiosk Kisumu Gov Prof Anyang right succumb intimidation,MaandamanoMondays,[0.90303916 0.08443591 0.0125249 ]
K24Tv,  Gabriel Muthuma : Certain people believe think break law get away feel supporter get circumstance,MaandamanoThursdays K24Siasa,[0.41454878 0.48684883 0.09860237]
whitney_stesher,  TEARGAS amp WATER CANONS ENERGIZERS : state deal 18M Kenyans believe amp Azimio ideology,pipeline outerrimg Maandamano azimio Baba,[0.18526506 0.53109837 0.28363657]
PhilWesonga,  Let BRING,Maandamano MaandamanoMondays,[0.30781427 0.3797469  0.31243882]
Cevin_owuor,  Kwani walileta flavour mpya wa maji kutoka Kwa hizi canon release today outering road🥺Hii inawasha sana bana,MaandamanoThursdays,[0.36119798 0.28579932 0.3530027 ]
solo_ambuku,  Shame cohort turn country derelict warfields call peaceful demonstration per Public Order Act sue damage loss life aggrandizement,Kuzimia RiotersForRent Syria MaandamanoThursdays,[0.95203954 0.03827799 0.00968241]
benjabali,  Ruto Gachagua Days Numbered Count Well ~ BABA,MaandamanoThursdays,[0.13669685 0.48628923 0.37701392]
MundiaMS,  goon break premise make away good worth million dont think video make citizen tv Embakasi,MaandamanoThursdays RailaOdinga,[0.3866841  0.38944703 0.22386888]
Kimaani,  sad still see journalist bear brunt bring reality public eye worrisome public remain absolutely unconcerned situation spiral control,JournalismIsNotACrime MaandamanoThursdays,[0.95952135 0.03062528 0.00985333]
Viwakproperties,  | Pipeline Outering Road Naivasha Siaya Mukuru Nairobi njenga |,MainaAndKingangi MaandamanoThursdays JKLive Viwakproperties,[0.23886827 0.6786652  0.08246648]
TrueKenyans,  Ruto amp Gachagua day numbered count well Raila Odinga,Maandamano MaandamanoThursdays,[0.24177122 0.4380964  0.32013237]
okoth_ke,  Baba wait way forward,MaandamanoThursdays,[0.07962001 0.37042108 0.5499589 ]
degypsyking,  Baba shall continue do yet,MaandamanoMondays,[0.08638005 0.36104414 0.5525758 ]
banakenya,  Kisumu protest injure Police officer use giant catapult Outering Road Pipeline Martha Karua Narok Kayole Moses Kuria RIP Runda Babu Owino Gatundu,Maandamano Azimio,[0.7709405  0.18969856 0.03936098]
OmaribaKE,  Maji ya leo ni color,MaandamanoThursdays,[0.61522627 0.29339328 0.09138045]
Jeshi_LaBABA,  Ruto Gachagua Days Numbered Count Well ~ BABA,MaandamanoThursdays,[0.13669685 0.48628923 0.37701392]
KalosSays,  take chaos pipeline safe V8 leader worth salt conduct protest car,MaandamanoThursdays,[0.5302756  0.3470388  0.12268557]
muniu_ke,  Hata sisi wa serikali ni yetu tunalia gharama ya maisha iko juu know violent demonstration best solution,MaandamanoMondays Maandamano MaandamanoMonday,[0.49389082 0.33071384 0.17539535]
ngetichkipto,  Permanent purple dye use police Tomorrow Police walk estate arrest people dye,MaandamanoThursdays,[0.27232352 0.59865415 0.12902234]
nichomaingi,  owner Kenya dont want tittle name CHANGED reason every,Maandamano MaandamanoMondays,[0.88080573 0.1003122  0.01888209]
otienomjomba,  police behave protester follow suit Todays protest success choose wrong route access Eastlands Police 1Azimio 0 Aggregate Police 4 Azimio 10,azimio pipeline MarthaKarua Narok babuowino Gatundu,[0.28648746 0.47886983 0.23464265]
OmaribaKE,  Police deny abet hired goon cause mayhem Nairobi ongoing,MaandamanoThursdays,[0.78811324 0.16015598 0.05173075]
